"","jsw","kgh","kru","pge","mbk","pkn","zwrot","wariancja"
"1",0.0254050548112214,0.302846750572878,0.0658070132363976,0.244715796647591,0.0341182343033535,0.327107150428558,0.0497011697089957,2.83915653310581
"2",0.0530473419756275,0.276536613799941,0.146050694739404,0.125490847147553,0.190303656271547,0.208570846065928,0.05583801272751,2.69065528346948
"3",0.246677778685369,0.129118634472333,0.0313203293970925,0.18431250829954,0.201590274464464,0.206980474681202,0.0446585326419646,3.40583963134145
"4",0.252475743876467,0.215401285412829,0.10416858443967,0.186126535486591,0.071179454120817,0.170648396663626,0.0467897525445232,3.39776314103478
"5",0.233966278236979,0.176856260074059,0.131528490300785,0.192805306977053,0.129172126985862,0.135671537425261,0.0481860640611276,3.23872392505518
"6",0.0999965361937403,0.208179382849299,0.218992376008762,0.212656594497324,0.204888284156215,0.0552868262946597,0.0540175929171545,2.84441579382151
"7",0.0536145625391009,0.345105356190472,0.0970860744236207,0.28533614317478,0.172729297524428,0.0461285661475989,0.0467417301055509,3.09223859671332
"8",0.18887175638868,0.106555346766768,0.124387451264184,0.17985925178004,0.327531926608684,0.072794267191645,0.049497196885921,3.22619376236295
"9",0.163263796281499,0.340513674365152,0.171256149687209,0.117276443450308,0.0538743890468513,0.153815547168981,0.0535454238817285,3.10454848850078
"10",0.19922434503173,0.28876747924573,0.0159899836810189,0.189844317044801,0.0821101363507662,0.224063738645954,0.0442871639249991,3.37597988302748
"11",0.141326722050756,0.167776706949696,0.150476850028466,0.148133496221373,0.210920288139463,0.181365936610245,0.0533394826021403,2.81380331876592
"12",0.133063976581961,0.2972353620175,0.214869072100143,0.151824753669147,0.0241962158787406,0.178810619752509,0.0554036697385618,2.90111209189458
"13",0.218031960580388,0.216097073663001,0.173911618271202,0.170284700972071,0.0422088529289553,0.179465793584383,0.0512510461928111,3.14466447406811
"14",0.24692468112428,0.192223492479823,0.134139078457523,0.123765738402768,0.279326352950096,0.0236206565855087,0.049501804065452,3.51040991823284
"15",0.191428142487012,0.168125454425064,0.0138882354142475,0.129340392621499,0.258227855847793,0.238989919204384,0.0472793327703654,3.22872386183043
"16",0.287025747878843,0.00616450057958406,0.0306647677691594,0.286593956509679,0.167865546240072,0.221685481022662,0.0408182891285164,3.7090606252156
"17",0.124234262441644,0.0597105455617827,0.155275350435785,0.146256293181811,0.214776797425616,0.29974675095336,0.05546583983541,2.69613155811014
"18",0.166809956632753,0.147987675636629,0.263930109100583,0.0110739309963462,0.149701074812105,0.260497252821584,0.0628481721595486,2.8266556293115
"19",0.17505284105758,0.0034797770842103,0.0528350891241638,0.228443338059999,0.282586419853245,0.257602534820801,0.0469832309140236,3.13752045368157
"20",0.208702485502092,0.278703806312122,0.062213769078946,0.297784179749747,0.0470674091784274,0.105528350178665,0.0415138401152619,3.5277608702892
"21",0.146517172054382,0.0209518187188476,0.244166171543815,0.108007238102774,0.280711770035346,0.199645829544835,0.0595020889576061,2.81837553095681
"22",0.024646778932458,0.184694925011065,0.18152217238036,0.198864390530964,0.2069816354346,0.203290097710552,0.0560313644259899,2.57631209607014
"23",0.257835842082067,0.218409157023462,0.246208089319504,0.0226155454381707,0.114484437692978,0.140446928443818,0.0580888044090787,3.34097285362594
"24",0.0788321999588745,0.20499221318283,0.162063919193497,0.232719315733314,0.153764704199373,0.167627647732111,0.0522510473268979,2.70128647760436
"25",0.263238049008837,0.126586121361515,0.00601702200765255,0.0945211434975742,0.247069108151776,0.262568555972645,0.046647225274113,3.54266933028953
"26",0.0365916682538271,0.350341359231018,0.528642726027731,0.0289636100007564,0.0130450298242152,0.0424156066624519,0.0742471099486065,3.38039060174253
"27",0.424803601952253,0.0304971311129134,0.0134318578882222,0.136722089629215,0.242071702269258,0.152473617148138,0.0410320886502012,4.64086808661564
"28",0.212490666118453,0.28563143192055,0.124124162191922,0.0608241872822956,0.113807764522181,0.203121787964598,0.0528478888338555,3.22886827709574
"29",0.250519068850989,0.212050269360587,0.161050804859512,0.240216654948855,0.124881221560095,0.0112819804199619,0.0463196159871233,3.5208063336679
"30",0.155827636412791,0.19864798862215,0.180987449208414,0.0638129598983425,0.200637872919419,0.200086092938883,0.0571153753169748,2.85667987441819
"31",0.182460847799192,0.0807267304628485,0.255217075766362,0.188503356003207,0.231804116189491,0.0612878737789,0.054964984785064,3.02240634884252
"32",0.18968498982605,0.268737880444798,0.253994343104231,0.0185063487124502,0.0398825741028233,0.229193863809647,0.0606743982301401,3.06864700684611
"33",0.56321350330065,0.0727684659148781,0.15637558100917,0.10190952197024,0.0323866238046909,0.0733463040003712,0.0438492373235177,5.8327039300244
"34",0.307258267112349,0.214502505180823,0.0108432949652922,0.0351512703764356,0.199080578687199,0.233164083677902,0.0470482677624814,3.87319658107813
"35",0.0825707566892979,0.316745659640654,0.13028680575202,0.227941963141803,0.143128176212199,0.0993266385640255,0.0498840217376048,2.92729407997392
